Barcode Any Aliquot,Sample Barcode
Calibrator A,Calibrator A
Calibrator B,Calibrator B
Calibrator C,Calibrator C
Calibrator D,Calibrator D
Calibrator E,Calibrator E
Calibrator F,Calibrator F
Calibrator G,Calibrator G
Calibrator H,Calibrator H
01 14 5291,01145291301
01 14 5211,01145211301
01 14 5144,01145144301
05 61 0035,05610035305
05 61 0178,05610178303
05 61 0179,05610179302
01 01 8742,01018742301
01 01 8236,01018236301
01 01 8608,01018608302
01 01 8260,01018260301
01 01 8273,01018273301
01 01 8285,01018285301
01 01 8528,01018528301
01 01 8502,01018502302
01 01 8674,01018674302
01 01 8647,01018647301
01 01 8412,01018412301
05 61 0484,05610484304
05 61 0388,05610388305
05 61 0291,05610291302
05 61 0386,05610386303
05 01 0100,05010100303
05 01 0117,05010117306
05 01 0090,05010090304
05 01 0163,05010163303
05 61 0304,05610304304
05 61 0472,05610472305
05 61 0496,05610496304
05 61 0292,05610292310
01 14 5317,01145317301
01 14 5193,01145193301
01 14 5256,01145256301
01 71 0030,01710030302
01 71 0024,01710024301
01 71 0099,01710099301
01 71 0065,01710065301
01 71 0021,01710021301
01 71 0014,01710014301
01 71 0005,01710005301
01 71 0044,01710044302
01 71 0083,01710083302
01 14 4350,01144350303
01 14 4654,01144654301
01 14 5120,01145120301
01 14 5324,01145324301
01 14 4347,01144347302
01 14 4316,01144316303
01 61 0537,01610537301 
01 61 0579,01610579301
01 61 0594,01610594304
01 61 0629,01610629304
01 61 0613,01610613301
01 61 0570,01610570301
01 71 0036,01710036301
01 71 0038,01710038301
05 01 0166,05010166304
05 61 0422,05610422305
01 14 4351,01144351303
05 61 0042,05610042304
Calibrator I,Calibrator I
Calibrator J,Calibrator J
01 61 0537,01610537301
01 01 8261,1018261301
01 01 8610,1018610301
01 01 8642,01018642301
01 71 0083,01710083301
01 01 8608,01018608301
01 61 0481,01610481301
01 01 8644,01018644301
01 61 0485,01610485301
01 01 8319,01018319301
01 01 8317,01018317301
01 01 8577,01018577301
01 61 0482,01610482301
26 01 0045,TB0260100450003001
26 01 0020,TB0260100200003001
26 01 0089,TB0260100890003001
26 01 0094,TB0260100940003001
26 02 0058,TB0260200580003001
05 61 0349,05610349302
01 61 0531,01610531304
01 61 0510,01610510301
01 61 0392,01610392303
01 61 0383,01610383301
01 61 0352,01610352302
01 61 0718,01610718301
01 61 0112,01610112301
01 61 0098,01610098301
01 61 0223,01610223301
01 61 0137,01610137304
01 61 0127,01610127301
01 61 0141,01610141303
01 61 0158,01610158304
01 61 0231,01610231301
01 61 0262,01610262301
01 61 0254,01610254301
01 61 0283,01610283304
01 61 0148,01610148302
01 61 0054,01610054301
05 61 0044,05610044305
26 01 0153,TB0260101530003001
26 01 0060,TB0260100600003001
26 01 0044,TB0260100440003001
01 61 0481,01610481303
01 61 0472,01610472301
01 61 0431,01610431301
01 61 0402,01610402302
01 61 0401,01610401302
01 61 0463,01610463302
01 61 0457,01610457301
01 61 0436,01610436302
01 61 0447,01610447301
01 61 0740,01610740301
01 61 0700,01610700301
01 61 0675,01610675301
05 61 0263,05610263304
05 61 0509,05610509303
05 01 0019,05010019306
05 01 0135,05010135303
01 61 0743,01610743302
01 61 0679,01610679301
01 61 0687,01610687301
01 61 0644,01610644301
01 14 5270,01145270301
01 14 5284,01145284301
01 14 5302,01145302301
05 61 0034,05610034304
05 61 0109,05610109304
01 61 0634,01610634304
01 14 5162,01145162301
01 01 8480,01018480302
01 01 8716,01018716301
01 01 8239,01018239302
01 01 8261,01018261302
01 01 8248,01018248301
01 01 8286,01018286302
01 01 8319,01018319302
01 01 8642,01018642302
01 01 8698,01018698302
01 01 8659,01018659302
01 01 8610,01018610302
05 61 0556,05610556309
05 61 0389,05610389315
05 61 0309,05610309306
05 61 0231,05610231302
01 01 8292,01018292301
05 01 0196,05010196304
05 01 0161,05010161307
05 01 0017,05010017309
05 01 0155,05010155307
05 61 0303,05610303304
05 61 0471,05610471304
05 61 0385,05610385301
05 61 0343,05610343302
01 14 5380,01145380301
01 14 5237,01145237301
01 14 5248,01145248301
05 61 0001,05610001324
01 71 0032,01710032301
01 71 0072,01710072301
01 71 0093,01710093301
01 71 0020,01710020301
01 71 0017,01710017302
01 71 0010,01710010301
01 71 0008,01710008301
01 71 0003,01710003301
01 71 0085,01710085301
01 14 4353,01144353303
01 14 4643,01144643301
01 14 5334,01145334301
01 14 4740,01144740301
01 14 4369,01144369303
01 14 4309,01144309303
05 61 0286,05610286309
01 61 0535,01610535301
01 61 0582,01610582301
01 61 0657,01610657304
01 61 0612,01610612301
01 61 0572,01610572301
01 61 0567,01610567301
05 61 0077,05610077305
05 61 0310,05610310303
01 14 5416,01145416301
26 01 0046,TB0260100460003001
26 01 0113,TB0260101130003001
26 01 0096,TB0260100960003001
26 02 0036,TB0260200360003001
05 61 0453,05610453307
01 61 0527,01610527301
01 61 0551,01610551301
01 61 0389,01610389301
01 01 8704,01018704301
01 61 0721,01610721304
01 61 0197,01610197301
01 01 8715,01018715301
01 61 0093,01610093301
01 61 0208,01610208304
01 61 0132,01610132304
01 61 0162,01610162306
01 61 0171,01610171301
01 61 0172,01610172301
01 61 0232,01610232301
01 61 0257,01610257301
01 61 0250,01610250301
01 61 0278,01610278301
01 61 0143,01610143305
26 01 0157,TB0260101570003001
26 01 0085,TB0260100850003001
26 01 0061,TB0260100610003001
26 01 0076,TB0260100760003001
01 61 0493,01610493301
01 61 0476,01610476301
01 01 8607,01018607301
01 61 0485,01610485303
01 01 8268,01018268302
01 61 0466,01610466301
01 61 0461,01610461304
01 61 0458,01610458301
01 61 0437,01610437303
01 61 0610,01610610304
01 01 8301,01018301301
01 61 0677,01610677301
05 61 0355,05610355305
05 01 0114,05010114305
05 01 0108,05010108307
05 01 0043,05010043308
05 61 0456,05610456304
01 61 0678,01610678301
01 61 0695,01610695301
01 61 0782,01610782301
01 61 0691,01610691301
01 61 0689,01610689301
01 14 4827,01144827305
01 14 4980,01144980305
01 14 5313,01145313301
05 01 0008,050100086101
05 01 0019,050100196101
05 01 0051,050100516106
05 01 0056,050100566101
05 01 0062,050100626106
05 01 0068,050100686101
05 01 0085,050100856106
05 01 0088,050100886106
05 01 0095,050100956101
05 01 0106,050101066101
05 61 0036,056100366101
05 61 0055,056100556101
05 61 0080,056100806101
05 61 0089,056100896101
05 61 0104,056101046101
05 61 0172,056101726101
05 61 0192,056101926101
05 61 0202,056102026101
05 61 0221,056102216101
05 61 0275,056102756101
05 61 0358,056103586101
05 61 0374,056103746101
05 61 0388,056103886106
05 61 0504,056105046106
05 61 0021,056100216101
05 61 0510,056105106106
05 01 0029,050100296101
01 61 0614,1610614301
01 14 4310,1144310U02
05 61 0117,056101176101
05 61 0220,056102206101
05 61 0118,056101186106
05 61 0325,056103256102
05 01 0050,050100506101
05 01 0180,050101806109
05 01 0036,050100366101
05 61 0558,056105586104
01 01 8233,01018233301
05 61 0294,056102946101
05 61 0088,056100886101
05 61 0231,056102316101
05 01 0167,050101676101
05 01 0049,050100496101
05 01 0072,050100726101
05 01 0075,050100756101
05 01 0045,050100456101
05 01 0171,050101716101
05 01 0093,050100936101
05 01 0096,050100966101
05 01 0063,050100636101
05 01 0099,050100996101
05 01 0048,050100486101
05 61 0156,056101566101
05 61 0340,056103406101
05 01 0082,050100826104
05 61 0232,056102326101
05 61 0349,056103496106
05 61 0457,056104576101
05 61 0509,056105096106
05 61 0375,056103756101
05 61 0400,056104006106
05 01 0015,050100156101
05 01 0044,050100446101
05 61 0245,056102456101
05 01 0147,050101476106
05 61 0222,056102226101
05 61 0413,056104136107
05 61 0263,056102636107
05 61 0481,056104816101
05 61 0496,056104966101
05 61 0473,056104736101
05 61 0511,056105116105
05 61 0382,056103826106
